"","cluster_1","cluster_2","cluster_3"
"CLRN3",2,2,1
"PTPRE",2,2,1
"MKI67",2,2,1
"MGMT",2,2,1
"EBF3",2,2,1
"GLRX3",2,2,1
"PPP2R2D",2,2,1
"BNIP3",2,2,1
"JAKMIP3",2,2,1
"DPYSL4",2,2,1
"STK32C",2,2,1
"LRRC27",2,2,1
"PWWP2B",2,2,1
"C10orf91",2,2,1
"INPP5A",2,2,1
"NKX6-2",2,2,1
"KNDC1",2,2,1
"UTF1",2,2,1
"MIR202HG",2,2,1
"ADAM8",2,2,1
"TUBGCP2",2,2,1
"ZNF511",2,2,1
"CALY",2,2,1
"PRAP1",2,2,1
"FUOM",2,2,1
"ECHS1",2,2,1
"PAOX",2,2,1
"MTG1",2,2,1
"CYP2E1",2,2,1
"HSD17B12",2,2,1
"ALKBH3",2,2,1
"C11orf96",2,2,1
"ACCS",2,2,1
"EXT2",2,2,1
"CD82",2,2,1
"TSPAN18",2,2,1
"TP53I11",2,2,1
"PRDM11",2,2,1
"SYT13",2,2,1
"CHST1",2,2,1
"SLC35C1",2,2,1
"CRY2",2,2,1
"MAPK8IP1",2,2,1
"C11orf94",2,2,1
"PEX16",2,2,1
"PHF21A",2,2,1
"AC024475.1",2,2,1
"CREB3L1",2,2,1
"DGKZ",2,2,1
"MDK",2,2,1
"AMBRA1",2,2,1
"HARBI1",2,2,1
"ATG13",2,2,1
"ARHGAP1",2,2,1
"ZNF408",2,2,1
"CKAP5",2,2,1
"LRP4-AS1",2,2,1
"LRP4",2,2,1
"C11orf49",2,2,1
"ARFGAP2",2,2,1
"PACSIN3",2,2,1
"DDB2",2,2,1
"ACP2",2,2,1
"NR1H3",2,2,1
"MADD",2,2,1
"MYBPC3",2,2,1
"SPI1",2,2,1
"SLC39A13",2,2,1
"PSMC3",2,2,1
"RAPSN",2,2,1
"UNC93B1",2,3,2
"ALDH3B1",2,3,2
"NDUFS8",2,3,2
"TCIRG1",2,3,2
"CHKA",2,3,2
"C11orf24",2,3,2
"LRP5",2,3,2
"PPP6R3",2,3,2
"AP003096.1",2,3,2
"GAL",2,3,2
"CPT1A",2,3,2
"MRPL21",2,3,2
"IGHMBP2",2,3,2
"MRGPRF",2,3,2
"TPCN2",2,3,2
"MYEOV",2,3,2
"AP000439.1",2,3,2
"AP000439.2",2,3,2
"AP000439.3",2,3,2
"CCND1",2,3,2
"ORAOV1",2,3,2
"FGF19",2,3,2
"ANO1",2,3,2
"FADD",2,3,2
"PPFIA1",2,3,2
"CTTN",2,3,2
"SHANK2-AS1",2,3,2
"SHANK2",2,3,2
"SHANK2-AS3",2,3,2
"DHCR7",2,3,2
"NADSYN1",2,3,2
"KRTAP5-7",2,3,2
"KRTAP5-8",2,3,2
"KRTAP5-9",2,3,2
"KRTAP5-10",2,3,2
"AP003498.1",2,3,2
"FAM86C1",2,3,2
"ZNF705E",2,3,2
"RNF121",2,3,2
"IL18BP",2,3,2
"NUMA1",2,3,2
"AP002490.1",2,3,2
"LAMTOR1",2,3,2
"LRTOMT",2,3,2
"ANAPC15",2,3,2
"FOLR3",2,3,2
"FOLR1",2,3,2
"FOLR2",2,3,2
"INPPL1",2,3,2
"PHOX2A",2,3,2
"CLPB",2,3,2
"PDE2A",2,3,2
"ARAP1-AS1",2,3,2
"ARAP1-AS2",2,3,2
"ARAP1",2,3,2
"STARD10",2,3,2
"ATG16L2",2,3,2
"FCHSD2",2,3,2
"P2RY2",2,3,2
"P2RY6",2,3,2
"ARHGEF17",2,3,2
"AP002761.1",2,3,2
"RELT",2,3,2
"FAM168A",2,3,2
"PLEKHB1",2,3,2
"RAB6A",2,3,2
"MRPL48",2,3,2
"COA4",2,3,2
"PAAF1",2,3,2
"DNAJB13",2,3,2
"UCP2",2,3,2
"UCP3",2,3,2
"C2CD3",2,3,2
"PPME1",2,3,2
"P4HA3",2,3,2
"PGM2L1",2,3,2
"KCNE3",2,3,2
"LIPT2",2,3,2
"POLD3",2,3,2
"CHRDL2",2,3,2
"RNF169",2,3,2
"XRRA1",2,3,2
"SPCS2",2,3,2
"NEU3",2,3,2
"OR2AT4",2,3,2
"SLCO2B1",2,3,2
"TPBGL",2,3,2
"ARRB1",2,3,2
"RPS3",2,3,2
"KLHL35",2,3,2
"GDPD5",2,3,2
"SERPINH1",2,3,2
"MAP6",2,3,2
"MOGAT2",2,3,2
"DGAT2",2,3,2
"UVRAG",2,3,2
"WNT11",2,3,2
"LRRC32",2,3,2
"TSKU",2,3,2
"ACER3",2,3,2
"B3GNT6",2,3,2
"CAPN5",2,3,2
"MYO7A",2,3,2
"PAK1",2,3,2
"CLNS1A",2,3,2
"AQP11",2,3,2
"RSF1",2,3,2
"AAMDC",2,3,2
"INTS4",2,3,2
"KCTD14",2,3,2
"THRSP",2,3,2
"NDUFC2",2,3,2
"ALG8",2,3,2
"KCTD21-AS1",2,3,2
"KCTD21",2,3,2
"USP35",2,3,2
"GAB2",2,3,2
"NARS2",2,3,2
"TENM4",2,3,2
"FAM181B",2,3,2
"PRCP",2,3,2
"RAB30",2,3,2
"RAB30-AS1",2,3,2
"PCF11",2,3,2
"ANKRD42",2,3,2
"CCDC90B",2,3,2
"DLG2",2,3,2
"TMEM126B",2,3,2
"TMEM126A",2,3,2
"CREBZF",2,3,2
"CCDC89",2,3,2
"SYTL2",2,3,2
"CCDC83",2,3,2
"PICALM",2,3,2
"EED",2,3,2
"CCDC81",2,3,2
"ME3",2,3,2
"PRSS23",2,3,2
"FZD4",2,3,2
"TMEM135",2,3,2
"RAB38",2,3,2
"CTSC",2,3,2
"NOX4",2,3,2
"NAALAD2",2,3,2
"CHORDC1",2,3,2
"FAT3",2,3,2
"SLC36A4",2,3,2
"SMCO4",2,3,2
"SCARNA9",2,3,2
"C11orf54",2,3,2
"TAF1D",2,3,2
"MED17",2,3,2
"PANX1",2,3,2
"GPR83",2,3,2
"ANKRD49",2,3,2
"FUT4",2,3,2
"PIWIL4",2,3,2
"AMOTL1",2,3,2
"CWC15",2,3,2
"KDM4D",2,3,2
"SRSF8",2,3,2
"ENDOD1",2,3,2
"SESN3",2,3,2
"FAM76B",2,3,2
"CEP57",2,3,2
"MTMR2",2,3,2
"MAML2",2,3,2
"CCDC82",2,3,2
"JRKL",2,3,2
"CNTN5",2,3,2
"ARHGAP42",2,3,2
"PGR",2,3,2
"YAP1",2,3,2
"BIRC3",2,3,2
"BIRC2",2,3,2
"TMEM123",2,3,2
"MMP7",2,3,2
"MMP10",2,3,2
"MMP1",2,3,2
"MMP13",2,3,2
"DCUN1D5",2,3,2
"DYNC2H1",2,3,2
"PDGFD",2,3,2
"CASP4",2,3,2
"CASP1",2,3,2
"CARD16",2,3,2
"CARD17",2,3,2
"MSANTD4",2,3,2
"KBTBD3",2,3,2
"AASDHPPT",2,3,2
"GUCY1A2",2,3,2
"CWF19L2",2,3,2
"ALKBH8",2,3,2
"ELMOD1",2,3,2
"SLN",2,3,2
"SLC35F2",2,3,2
"CUL5",2,3,2
"ACAT1",2,3,2
"NPAT",2,3,2
"ATM",2,3,2
"C11orf65",2,3,2
"KDELC2",2,3,2
"EXPH5",2,3,2
"DDX10",2,3,2
"ZC3H12C",2,3,2
"RDX",2,3,2
"FDX1",2,3,2
"ARHGAP20",2,3,2
"C11orf53",2,3,2
"COLCA1",2,3,2
"COLCA2",2,3,2
"POU2AF1",2,3,2
"C11orf88",2,3,2
"LAYN",2,3,2
"SIK2",2,3,2
"PPP2R1B",2,3,2
"ALG9",2,3,2
"FDXACB1",2,3,2
"C11orf1",2,3,2
"HSPB2",2,3,2
"CRYAB",2,3,2
"C11orf52",2,3,2
"DIXDC1",2,3,2
"DLAT",2,3,2
"PIH1D2",2,3,2
"TIMM8B",2,3,2
"SDHD",2,3,2
"IL18",2,3,2
"TEX12",2,3,2
"BCO2",2,3,2
"AP002884.1",2,3,2
"PTS",2,3,2
"PLET1",2,3,2
"NCAM1",2,3,2
"TTC12",2,3,2
"ANKK1",2,3,2
"DRD2",2,3,2
"TMPRSS5",2,3,2
"ZW10",2,3,2
"CLDN25",2,3,2
"USP28",2,3,2
"HTR3B",2,3,2
"HTR3A",2,3,2
"ZBTB16",2,3,2
"NNMT",2,3,2
"C11orf71",2,3,2
"RBM7",2,3,2
"REXO2",2,3,2
"NXPE2",2,3,2
"AP000462.3",2,3,2
"CADM1",2,3,2
"AP000462.1",2,3,2
"AP000997.1",2,3,2
"AP000997.2",2,3,2
"AP000797.3",2,3,2
"LINC00900",2,3,2
"BUD13",2,3,2
"APOA1",2,3,2
"APOA1-AS",2,3,2
"SIK3",2,3,2
"AP000936.1",2,3,2
"PAFAH1B2",2,3,2
"SIDT2",2,3,2
"TAGLN",2,3,2
"PCSK7",2,3,2
"RNF214",2,3,2
"BACE1",2,3,2
"CEP164",2,3,2
"DSCAML1",2,3,2
"FXYD2",2,3,2
"FXYD6-FXYD2",2,3,2
"FXYD6",2,3,2
"TMPRSS13",2,3,2
"IL10RA",2,3,2
"TMPRSS4",2,3,2
"SCN4B",2,3,2
"SCN2B",2,3,2
"MPZL3",2,3,2
"MPZL2",2,3,2
"CD3G",2,3,2
"UBE4A",2,3,2
"KMT2A",2,3,2
"TTC36",2,3,2
"TMEM25",2,3,2
"IFT46",2,3,2
"ARCN1",2,3,2
"PHLDB1",2,3,2
"TREH",2,3,2
"DDX6",2,3,2
"CXCR5",2,3,2
"BCL9L",2,3,2
"UPK2",2,3,2
"FOXR1",2,3,2
"CCDC84",2,3,2
"RPS25",2,3,2
"TRAPPC4",2,3,2
"SLC37A4",2,3,2
"HYOU1",2,3,2
"VPS11",2,3,2
"HMBS",2,3,2
"H2AFX",2,3,2
"DPAGT1",2,3,2
"C2CD2L",2,3,2
"HINFP",2,3,2
"ABCG4",2,3,2
"NLRX1",2,3,2
"PDZD3",2,3,2
"CCDC153",2,3,2
"CBL",2,3,2
"MCAM",2,3,2
"RNF26",2,3,2
"MFRP",2,3,2
"USP2",2,3,2
"THY1",2,3,2
"USP2-AS1",2,3,2
"TRIM29",2,3,2
"OAF",2,3,2
"POU2F3",2,3,2
"TMEM136",2,3,2
"ARHGEF12",2,3,2
"GRIK4",2,3,2
"TBCEL",2,3,2
"TECTA",2,3,2
"SC5D",2,3,2
"SORL1",2,3,2
"BLID",2,3,2
"UBASH3B",2,3,2
"CRTAM",2,3,2
"HSPA8",2,3,2
"CLMP",2,3,2
"GRAMD1B",2,3,2
"SCN3B",2,3,2
"ZNF202",2,3,2
"OR8D4",2,3,2
"OR10G4",2,3,2
"VWA5A",2,3,2
"TBRG1",2,3,2
"SIAE",2,3,2
"SPA17",2,3,2
"NRGN",2,3,2
"VSIG2",2,3,2
"ESAM",2,3,2
"MSANTD2",2,3,2
"AP000866.1",2,3,2
"ROBO3",2,3,2
"ROBO4",2,3,2
"CCDC15",2,3,2
"SLC37A2",2,3,2
"AP001007.1",2,3,2
"TMEM218",2,3,2
"PKNOX2",2,3,2
"FEZ1",2,3,2
"EI24",2,3,2
"STT3A-AS1",2,3,2
"STT3A",2,3,2
"CHEK1",2,3,2
"ACRV1",2,3,2
"PATE2",2,3,2
"HYLS1",2,3,2
"PUS3",2,3,2
"DDX25",2,3,2
"CDON",2,3,2
"RPUSD4",2,3,2
"FAM118B",2,3,2
"FOXRED1",2,3,2
"TIRAP",2,3,2
"DCPS",2,3,2
"ST3GAL4",2,3,2
"KIRREL3",2,3,2
"AP002833.1",2,3,2
"KIRREL3-AS3",2,3,2
"ETS1",2,3,2
"SENCR",2,3,2
"FLI1",2,3,2
"KCNJ1",2,3,2
"C11orf45",2,3,2
"KCNJ5",2,3,2
"TP53AIP1",2,3,2
"ARHGAP32",2,3,2
"BARX2",2,3,2
"TMEM45B",2,3,2
"NFRKB",2,3,2
"PRDM10",2,3,2
"LINC00167",2,3,2
"APLP2",2,3,2
"ST14",2,3,2
"ZBTB44",2,3,2
"ADAMTS8",2,3,2
"ADAMTS15",2,3,2
"C11orf44",2,3,2
"SNX19",2,3,2
"NTM",2,3,2
"OPCML",2,3,2
"SPATA19",2,3,2
"IGSF9B",2,3,2
"AP000911.1",2,3,2
"JAM3",2,3,2
"NCAPD3",2,3,2
"VPS26B",2,3,2
"THYN1",2,3,2
"ACAD8",2,3,2
"GLB1L3",2,3,2
"GLB1L2",2,3,2
"B3GAT1",2,3,2
"AC026369.1",2,2,1
"IQSEC3",2,2,1
"SLC6A12",2,2,1
"SLC6A13",2,2,1
"KDM5A",2,2,1
"CCDC77",2,2,1
"B4GALNT3",2,2,1
"NINJ2",2,2,1
"WNK1",2,2,1
"RAD52",2,2,1
"ERC1",2,2,1
"LINC00942",2,2,1
"FBXL14",2,2,1
"WNT5B",2,2,1
"ADIPOR2",2,2,1
"CACNA2D4",2,2,1
"LINC00940",2,2,1
"DCP1B",2,2,1
"CACNA1C",2,2,1
"CACNA1C-AS2",2,2,1
"CACNA1C-AS1",2,2,1
"FKBP4",2,2,1
"NRIP2",2,2,1
"ITFG2",2,2,1
"AC005841.1",2,2,1
"FOXM1",2,2,1
"RHNO1",2,2,1
"TULP3",2,2,1
"TEAD4",2,2,1
"TSPAN9",2,2,1
"PRMT8",2,2,1
"PARP11",2,2,1
"CCND2",2,2,1
"FGF23",2,2,1
"C12orf4",2,2,1
"RAD51AP1",2,2,1
"DYRK4",2,2,1
"AKAP3",2,2,1
"NDUFA9",2,2,1
"GALNT8",2,2,1
"KCNA5",2,2,1
"NTF3",2,2,1
"ANO2",2,2,1
"VWF",2,2,1
"CD9",2,2,1
"PLEKHG6",2,2,1
"TNFRSF1A",2,2,1
"SCNN1A",2,2,1
"LTBR",2,2,1
"CD27",2,2,1
"TAPBPL",2,2,1
"VAMP1",2,2,1
"MRPL51",2,2,1
"NCAPD2",2,2,1
"GAPDH",2,2,1
"IFFO1",2,2,1
"NOP2",2,2,1
"CHD4",2,2,1
"LPAR5",2,2,1
"ACRBP",2,2,1
"ING4",2,2,1
"ZNF384",2,2,1
"PIANP",2,2,1
"COPS7A",2,2,1
"MLF2",2,2,1
"PTMS",2,2,1
